id,code,name,city,state,longitude,latitude
1,ABE,LEHIGH VALLEY INTERNATIONAL AIRPORT,ALLENTOWN,PA,-75.440401,40.652363
2,ABQ,ALBUQUERQUE INTERNATIONAL SUNPORT AIRPORT,ALBUQUERQUE,NM,-106.609194,35.040194
3,ABR,ABERDEEN REGIONAL AIRPORT,ABERDEEN,SD,-98.421833,45.449056
4,ABY,SOUTHWEST GEORGIA REGIONAL AIRPORT,ALBANY,GA,-84.194473,31.535515
5,ACT,WACO REGIONAL AIRPORT,WACO,TX,-97.230519,31.611288
6,ACV,ARCATA AIRPORT,ARCATA/EUREKA,CA,-124.108611,40.978111
7,ACY,ATLANTIC CITY INTERNATIONAL AIRPORT,ATLANTIC CITY,NJ,-74.577167,39.457583
8,ADK,ADAK AIRPORT,ADAK ISLAND,AK,-176.646031,51.877964
9,ADQ,KODIAK AIRPORT,KODIAK,AK,-152.493855,57.749968
10,AEX,ALEXANDRIA INTERNATIONAL AIRPORT,ALEXANDRIA,LA,-92.548556,31.327372
11,AGS,AUGUSTA REGIONAL AT BUSH FIELD,AUGUSTA,GA,-81.9645,33.369944
12,ALB,ALBANY INTERNATIONAL AIRPORT,ALBANY,NY,-73.801972,42.749111
13,AMA,RICK HUSBAND AMARILLO INTERNATIONAL AIRPORT,AMARILLO,TX,-101.705917,35.219361
14,ANC,TED STEVENS ANCHORAGE INTERNATIONAL AIRPORT,ANCHORAGE,AK,-149.996361,61.174361
15,APN,ALPENA COUNTY REGIONAL AIRPORT,ALPENA,MI,-83.560306,45.078083
16,ASE,ASPEN-PITKIN COUNTY/SARDY FIELD,ASPEN,CO,-106.868861,39.223167
17,ATL,HARTSFIELD - JACKSON ATLANTA INTERNATIONAL AIRPORT,ATLANTA,GA,-84.428066,33.63672
18,ATW,OUTAGAMIE COUNTY REGIONAL AIRPORT,APPLETON,WI,-88.519083,44.258083
19,AUS,AUSTIN-BERGSTROM INTERNATIONAL AIRPORT,AUSTIN,TX,-97.669889,30.194528
20,AVL,ASHEVILLE REGIONAL AIRPORT,ASHEVILLE,NC,-82.541806,35.436194
21,AVP,WILKES-BARRE/SCRANTON INTERNATIONAL AIRPORT,WILKES-BARRE/SCRANTON,PA,-75.723389,41.338472
22,AZO,KALAMAZOO/BATTLE CREEK INTERNATIONAL AIRPORT,KALAMAZOO,MI,-85.551556,42.234389
23,BDL,BRADLEY INTERNATIONAL AIRPORT,WINDSOR LOCKS,CT,-72.683222,41.938889
24,BET,BETHEL AIRPORT,BETHEL,AK,-161.837177,60.778557
25,BFL,MEADOWS FIELD AIRPORT,BAKERSFIELD,CA,-119.057667,35.433861
26,BGM,GREATER BINGHAMTON/EDWIN A LINK FIELD,BINGHAMTON,NY,-75.979722,42.208556
27,BHM,BIRMINGHAM-SHUTTLESWORTH INTERNATIONAL AIRPORT,BIRMINGHAM,AL,-86.752306,33.563889
28,BIL,BILLINGS LOGAN INTERNATIONAL AIRPORT,BILLINGS,MT,-108.542889,45.807667
29,BIS,BISMARCK MUNICIPAL AIRPORT,BISMARCK,ND,-100.74575,46.772722
30,BJI,BEMIDJI REGIONAL AIRPORT,BEMIDJI,MN,-94.934722,47.510722
31,BLI,BELLINGHAM INTERNATIONAL AIRPORT,BELLINGHAM,WA,-122.537528,48.792694
32,BMI,CENTRAL ILLINOIS REGIONAL AIRPORT AT BLOOMINGTON-NORMAL AIRPORT,BLOOMINGTON/NORMAL,IL,-88.915917,40.477111
33,BNA,NAVAL AIR STATIONHVILLE INTERNATIONAL AIRPORT,NASHVILLE,TN,-86.678194,36.124472
34,BOI,BOISE AIR TERMINAL,BOISE,ID,-116.222861,43.564361
35,BOS,GENERAL EDWARD LAWRENCE LOGAN INTERNATIONAL AIRPORT,BOSTON,MA,-71.006417,42.362972
36,BQK,BRUNSWICK GOLDEN ISLES AIRPORT,BRUNSWICK,GA,-81.466316,31.259034
37,BQN,RAFAEL HERNANDEZ AIRPORT,AGUADILLA,PR,-67.129444,18.494861
38,BRD,BRAINERD LAKES REGIONAL AIRPORT,BRAINERD,MN,-94.135583,46.40175
39,BRO,BROWNSVILLE/SOUTH PADRE ISLAND INTERNATIONAL AIRPORT,BROWNSVILLE,TX,-97.425833,25.906833
40,BRW,WILEY POST-WILL ROGERS MEMORIAL AIRPORT,BARROW,AK,-156.766002,71.285448
41,BTM,BERT MOONEY AIRPORT,BUTTE,MT,-112.497472,45.954806
42,BTR,"BATON ROUGE METROPOLITAN, RYAN FIELD",BATON ROUGE,LA,-91.149877,30.532906
43,BTV,BURLINGTON INTERNATIONAL AIRPORT,BURLINGTON,VT,-73.153278,44.471861
44,BUF,BUFFALO NIAGARA INTERNATIONAL AIRPORT,BUFFALO,NY,-78.732167,42.940525
